"","analysis_variable_name","SES_level","N_ELSA_subset","N_HRS_subset","N_ELSA_discrimYES","N_HRS_discrimYES","cross_country_OR_UK","CI1_UK","CI2_UK","cross_country_OR_USA","CI1_USA","CI2_USA","chi_value_cross_national","pvalue_cross_national"
"L.R. Chisq","disability","1","2662","332","259","6","1.06905024238584","1.0227925853237","1.11739998621863","1.11374330312288","0.984762019743463","1.25961818224286","0.688358499857074","0.406723277542975"
"L.R. Chisq1","disability","2","195","54","3","1","0.967025793207538","0.90981229044941","1.02783716437459","1.03376395434815","0.834746063509131","1.28023115055737","0.0198185654588077","0.888044986219195"
"L.R. Chisq2","financial discrimination","1","7581","7068","504","151","1.08856464570141","1.07326971568228","1.104077540395","1.1408296351383","1.09394766217951","1.1897207712998","7.90780216102138","0.00492220352601247"
"L.R. Chisq3","financial discrimination","2","959","859","29","11","1.01560391728863","0.98451414998275","1.04767546188147","0.973434601362856","0.874113980994706","1.08404046123614","0.0298305960594014","0.862875168615812"
"L.R. Chisq4","financial discrimination, female","1","4257","4131","238","76","1.07437345271682","1.04697093793744","1.10249317729548","1.17512502349526","1.09869818313329","1.2568682118929","1.64569030108173","0.199546520621974"
"L.R. Chisq5","financial discrimination, female","2","486","452","11","5","1.02851319055965","0.978984215662529","1.08054794574935","1.10583637274776","0.917779149995006","1.33242739639332","0.0228584088071524","0.879825857486672"
"L.R. Chisq6","financial discrimination, male","1","3324","2937","266","75","1.12433196125951","1.0799764815514","1.17050915524913","1.14357326415204","1.0144349487202","1.28915098216323","2.83677550535997","0.0921289228127725"
"L.R. Chisq7","financial discrimination, male","2","473","407","18","6","0.996545593345953","0.89623141915117","1.1080878201724","0.887364541854001","0.622210380951891","1.26551381051394","0.000199878735746672","0.988720005422252"
"L.R. Chisq8","sex discrimination, female","1","4257","4131","374","512","0.869047938426394","0.853568626878594","0.88480796446914","1.56390235682954","1.47712641903398","1.65577607317897","27.0419334944414","1.99089289054655e-07"
"L.R. Chisq9","sex discrimination, female","2","486","452","57","57","0.847365522119155","0.796066414212017","0.90197038244228","1.75377540671085","1.38936189549081","2.2137703554172","3.61216188638649","0.0573585111687069"
"L.R. Chisq10","sex discrimination, male","1","3324","2937","114","114","0.970191465450822","0.957298199983468","0.983258382445374","1.21856711130654","1.16572885838763","1.27380033021726","0.902609427521242","0.342082990038407"
"L.R. Chisq11","sex discrimination, male","2","473","407","7","18","0.914158558145942","0.883387951040768","0.946000982294245","1.21369021483578","1.07066631831392","1.37581981649322","0.976610013493602","0.323037174726808"
"L.R. Chisq12","race discrimination","1","192","705","33","140","0.912421157974434","0.846880350587081","0.983034225486852","1.31790886243378","1.25884639771087","1.37974241562744","1.09602060400144","0.295141076979263"
"L.R. Chisq13","race discrimination","2","18","12","5","2","1.06893910574725","0.737692158112376","1.54892633631827","1.18136041286565","0.825477830605428","1.6906722062572","0.0263736263736263","0.870991194797464"
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L.R. Chisq14","weight discrimination,  BMI>29.9","1","1771","4720","167","185","1.01522006825187","0.993637687432432","1.03727123076882","1.28674422786459","1.21319832515805","1.36474859353858","0.123753128339274","0.72499903739766"
"L.R. Chisq15","weight discrimination,  BMI>29.9","2","154","472","10","14","0.989007382681255","0.924628115664845","1.05786919781766","1.37546025654293","1.11451389458898","1.69750321329717","0.00593746240503634","0.938579846131892"
"L.R. Chisq16","weight discrimination,  BMI>25.0, <=29.9 ","1","2222","1588","16","14","0.990326296721188","0.98064649137738","1.00010164988199","1.06065487626016","1.02593635639946","1.0965482990413","0.0376810857009779","0.846084924153397"
"L.R. Chisq17","weight discrimination,  BMI>25.0, <=29.9 ","1","2222","1588","16","14","0.990326296721188","0.98064649137738","1.00010164988199","1.06065487626016","1.02593635639946","1.0965482990413","0.0376810857009779","0.846084924153397"
"L.R. Chisq18","weight discrimination,  BMI>25.0 ","1","3993","6308","183","199","0.991497548843793","0.978492700077729","1.00467524109803","1.23109026302095","1.18232406858183","1.28186787022181","0.0754522625220204","0.783557678269154"
"L.R. Chisq19","weight discrimination,  BMI>25.0 ","2","477","725","11","14","0.976897127752165","0.945223860425524","1.00963172658465","1.22126199035941","1.08358507621996","1.37643170049886","0.0631436610485068","0.801594525473533"
