"","analysis_variable_name","N_ELSA_subset","N_HRS_subset","N_ELSA_discrimYES","N_HRS_discrimYES","Odds_ratio_ELSA","Odds_ratio_ELSA_CI_lower","Odds_ratio_ELSA_CI_upper","Odds_ratio_HRS","Odds_ratio_HRS_CI_lower","Odds_ratio_HRS_CI_upper","OR_discrimination_cross_national_value","OR_discrimination_cross_national_values_CI_lower","OR_discrimination_cross_national_values_CI_upper","discrimination_chi_value_cross_national","discrimination_pvalue_cross_national","analysis_variable_name","N_ELSA_subset","N_HRS_subset","N_ELSA_discrimYES","N_HRS_discrimYES","cross_country_OR_UK","CI1_UK","CI2_UK","cross_country_OR_USA","CI1_USA","CI2_USA","chi_value_cross_national","pvalue_cross_national"
"X-squared","disability discrimination","2890","386","264","7","0.0101069102750687","0.00890551959810349","0.0114703734221239","0.000341128229405252","0.000161521477695341","0.000720451982965726","3.06289455225625","1.42620476962938","6.57782335188718","8.37093198607374","0.00381270042577328","disability discrimination","2890","386","264","7","1.06427228858375","1.02182286312098","1.10848518380937","1.13286141739327","1.03856169451244","1.23572340266292","0.745746740202208","0.387826188106388"
"X-squared1","financial status discrimination","7581","7068","504","151","0.00507180656693288","0.00463361067059466","0.00555144220804427","0.000476560829726242","0.000405597481827896","0.000559939927155988","3.31327937741511","2.74680824208123","3.99657320981623","171.597439222447","3.31344023626116e-39","financial status discrimination","7581","7068","504","151","1.10403893111795","1.0901903058247","1.11806347470865","1.20422064904733","1.15652841301206","1.25387958936108","17.095980890711","3.55374301729272e-05"
"X-squared2","financial status discrimination, female","4257","4131","238","76","0.00350685574697098","0.00307702801893393","0.00399672578682731","0.000351273564322866","0.000279958331509885","0.000440755294999085","3.27723378212974","2.513835663331","4.27245958015444","83.745375692013","5.62785465156501e-20","financial status discrimination, female","4257","4131","238","76","1.09364668882573","1.07691271328089","1.11064069095776","1.22992938485972","1.17226922590237","1.29042566188409","8.01945158590246","0.00462775816097105"
"X-squared3","financial status discrimination, male","3324","2937","266","75","0.00756638282928565","0.00667535283726613","0.00857634802458701","0.000686725648159137","0.000546026391409406","0.000863680077115523","3.27721638871732","2.51251644797797","4.27465749214134","82.9570854877749","8.38542409420078e-20","financial status discrimination, male","3324","2937","266","75","1.11805738922902","1.09474488610516","1.14186633020684","1.20525915941925","1.12457439799195","1.29173280483521","9.26981782094089","0.00232960873437171"
"X-squared4","sex discrimination","4816","4583","437","569","0.00995893696591421","0.00902631060930768","0.0109879251649927","0.0200941572458528","0.0184051547199452","0.0219381559984115","0.348543611058305","0.30404736937883","0.399551718068643","240.907222561726","2.49397465998884e-54","sex discrimination","4816","4583","437","569","0.871501553632628","0.856781419819153","0.88647459015207","1.59090369803407","1.50530720592581","1.68136747532669","29.4111668039224","5.85393572505311e-08"
"X-squared5","sex discrimination, male","3855","3344","122","132","0.00106807975062448","0.000891844039016825","0.00127914108721483","0.00168887220866954","0.00141906011928925","0.00200998484732622","0.433265087257483","0.336189916320809","0.558370809840423","42.9840304812822","5.51885189502787e-11","sex discrimination, male","3855","3344","122","132","0.962001437422603","0.95028811380314","0.973859140360529","1.21202370294236","1.16257083501791","1.26358017270533","1.72611276604161","0.188908095506936"
"X-squared6","race discrimination","213","717","38","142","0.0471510204081633","0.0332008496514864","0.0669627057400171","0.0609875236294896","0.0507544651097425","0.0732837599690038","0.632367453126402","0.422327230345534","0.946869079330728","4.57961036364545","0.0323545710582386","race discrimination","213","717","38","142","0.939712738528488","0.859635129057172","1.02724981925905","1.61163916501121","1.17797044938593","2.20496261137284","0.354057200521623","0.551825383961931"
"X-squared7","sexual orientation discrimination","8671","7927","62","12","5.18654276730202e-05","4.04003101204066e-05","6.65842064005972e-05","2.29858545210896e-06","1.30481582681413e-06","4.04922669703298e-06","4.6787596563425","2.51806755837438","8.69348872273725","27.6121258636447","1.48246498314115e-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X-squared8","weight discrimination,  BMI>30","1947","5192","178","199","0.0101247507078921","0.0086786051273715","0.0118118724602014","0.0015884846435721","0.00137864074500219","0.00183026903274962","1.41420451482682","1.14491138173582","1.74683773928804","10.0690607654874","0.00150779875961221","weight discrimination,  BMI>30","1947","5192","178","199","1.0328201297268","1.0164983575572","1.04940397831274","1.35431075125619","1.28339824805954","1.42914143270905","1.14227823511862","0.28517143920845"
"X-squared9","weight discrimination,  BMI>25.0, <=29.9 ","2590","1841","17","14","4.36534196412291e-05","2.7094858324774e-05","7.03314637608143e-05","5.87190440539624e-05","3.47065656616561e-05","9.93450682566514e-05","0.452084814025113","0.221932309905158","0.920914485860402","4.16399383402555","0.041291931269398","weight discrimination,  BMI>25.0, <=29.9 ","2590","1841","17","14","0.993015291365306","0.985596888332661","1.00048953132703","1.05776492736936","1.03213920035746","1.0840268843439","0.0311246845328341","0.859962505832184"
"X-squared10","weight discrimination,  BMI>25.0 ","4537","7033","195","213","0.00201692423536161","0.00174734593898802","0.00232809272647237","0.000975417308072685","0.000851064028199298","0.00111794047611299","0.79484486380385","0.651161897895955","0.970232379315764","4.88561701517044","0.0270813533307263","weight discrimination,  BMI>25.0 ","4537","7033","195","213","0.997097904812224","0.987451684638422","1.00683835700273","1.26106141901301","1.21907768519131","1.30449102779986","0.0163442806847343","0.898271833426955"
