"","analysis_variable_name","country","N_low_SES","N_high_SES","n_discrimYES_low_SES","n_discrimYES_high_SES","SES_OR_low_SES","CI1_low_SES","CI2_low_SES","SES_OR_SES_high","CI1_SES_high","CI2_SES_high","chi_value_SES","pvalue_SES"
"L.R. Chisq","disability","England","2662","195","259","3","1.23196124024124","1.08132902312451","1.40357695483956","0.915805399516263","0.862487220196454","0.972419660423608","0.674415650834135","0.411516333123391"
"L.R. Chisq1","financial discrimination","England","7581","959","504","29","1.23642116044165","1.10282828191171","1.3861970272814","0.959330944116916","0.902580286929269","1.01964985682474","0.166942313018666","0.682843691837689"
"L.R. Chisq2","financial discrimination, female","England","4257","486","238","11","1.31284388896744","1.13911449314644","1.51306921926554","0.965990444410253","0.891902067029894","1.04623318320064","0.0595756680964428","0.807167875548086"
"L.R. Chisq3","financial discrimination, male","England","3324","473","266","18","1.22751621961795","1.0085074777543","1.49408517305237","0.953432075962463","0.867475417824023","1.04790603260471","0.106085774661864","0.744645205643375"
"L.R. Chisq4","sex discrimination, female","England","4257","486","374","57","1.4258164322165","1.33902003965162","1.51823903913164","1.01977516336145","0.980165171917183","1.06098585585811","0.0799260448056884","0.777397657564605"
"L.R. Chisq5","sex discrimination, male","England","3324","473","114","7","1.06889967546794","1.02007308929228","1.12006338389747","0.98567543693157","0.962972563950335","1.00891354888107","0.0485678408257257","0.825574343133045"
"L.R. Chisq6","race discrimination","England","192","18","33","5","1.27923577195643","1.18453136670677","1.38151188414927","1.09375182522789","0.904040158194371","1.32327424212955","0.135402100026855","0.712895422223599"
"L.R. Chisq7","weight discrimination,  BMI>29.9","England","1771","154","167","10","1.46247889602993","1.24675368338712","1.71553094234477","1.03229617655091","0.9477722576107","1.12435808029248","0.0352971541429596","0.850974351867359"
"L.R. Chisq8","weight discrimination,  BMI>25.0, <=29.9 ","England","2222","323","16","1","1.01106817420683","0.979021831281584","1.04416349077298","0.995523894800113","0.980923348242781","1.01034176308819","0.00129761196487088","0.971264512722478"
"L.R. Chisq9","weight discrimination,  BMI>25.0 ","England","3993","477","183","11","1.21296258542155","1.12902368642303","1.30314204327621","1.00700233141251","0.972329182720019","1.0429119206661","0.00486216542702067","0.944409176733395"
"L.R. Chisq10","disability ","USA","332","54","6","1","0.908226703293343","0.738847688662613","1.11643544025725","1.00342742424448","0.929428041049422","1.08331850477532","0.000253213474991298","0.987304051845188"
"L.R. Chisq11"," financial discrimination ","USA","7068","859","151","11","1.12235798247204","1.08002978234228","1.16634509660169","0.987197531020669","0.960727433238688","1.01439693667119","0.0318690425948205","0.858315380704328"
"L.R. Chisq12"," financial discrimination, female","USA","4131","452","76","5","1.15811941269351","1.0946952763866","1.22521819814986","0.99849492956297","0.935627441654203","1.06558666406819","5.49065825943273e-05","0.994087811202718"
"L.R. Chisq13"," financial discrimination, male ","USA","2937","407","75","6","1.13778329443022","1.01561411024003","1.27464832561112","1.0467106609022","0.906292615896036","1.20888462338748","0.0160470483462554","0.899196094187243"
"L.R. Chisq14","sex discrimination, female  ","USA","4131","452","512","57","1.56245502145438","1.41191786298923","1.72904228925859","0.956790315805053","0.878082914213693","1.04255269473966","0.17973837351883","0.671598174649013"
"L.R. Chisq15","sex discrimination, male ","USA","2937","407","114","18","1.3849953787708","1.28024919419156","1.49831158490028","1.03540611329961","0.982782239625301","1.09084777505435","0.116727275925882","0.732611491767472"
"L.R. Chisq16","race discrimination","USA","705","12","140","2","1.28819603233193","1.2257004112116","1.35387816022299","0.935896596090623","0.696573668857241","1.25744408342477","0.0387288993867116","0.843986716638028"
"L.R. Chisq17","weight discrimination,  BMI> 29.9 ","USA","4720","472","185","14","1.31265970794195","1.23170824322913","1.39893153945043","1.01213771762941","0.967316194673108","1.05903608880886","0.0173966144753592","0.895066373638727"
"L.R. Chisq18","weight discrimination,  BMI>25.0, <=29.9 ","USA","1588","253","14","0","1.09984373658289","1.04604061935519","1.15641421806953","1.00054649557823","0.964278090679693","1.03817902686996","1.25130921801997e-05","0.997177581060739"
"L.R. Chisq19","weight discrimination,  BMI>25.0,","USA","6308","725","199","14","1.26876652061396","1.20830570535875","1.33225265484693","1.00258908773347","0.968304804689561","1.03808725720874","0.00111498069750837","0.97336252611344"
