"","analysis_variable_name","N_ELSA_subset","N_HRS_subset","N_ELSA_discrimYES","N_HRS_discrimYES","cross_country_OR_UK","CI1_UK","CI2_UK","cross_country_OR_USA","CI1_USA","CI2_USA","chi_value_cross_national","pvalue_cross_national"
"L.R. Chisq","disability_discrimination","2890","386","264","7","1.06427228858375","1.02182286312098","1.10848518380937","1.13286141739327","1.03856169451244","1.23572340266292","0.745746740202208","0.387826188106388"
"L.R. Chisq1","financial_status_discrimination","7581","7068","504","151","1.08431841160481","1.07152533893809","1.09726422233783","1.19506157814042","1.14760044835281","1.24448555034759","13.0384090132727","0.000305167229993741"
"L.R. Chisq2","financial_status_discrimination_female","4257","4131","238","76","1.07266139108299","1.05715053045081","1.08839983216906","1.21397472039203","1.15690729954373","1.2738571381926","5.57932208002097","0.0181737562429043"
"L.R. Chisq3","financial_status_discrimination_male","3324","2937","266","75","1.0998130286857","1.07835001617851","1.12170323171449","1.20129892553419","1.12070608009539","1.28768740896522","7.74046143546514","0.00539970010588942"
"L.R. Chisq4","sex_discrimination","4816","4583","437","569","0.868049256648128","0.760197722478301","0.991202011906671","1.20333663226409","0.800739470368873","1.80835228452225","0.70993029588675","0.399466952941186"
"L.R. Chisq5","sex_discrimination_male","3855","3344","122","132","1.09803339689581","0.971292764027291","1.2413119765244","1.52854003299337","1.09198441475816","2.13962269139236","0.21595144912127","0.642142178503637"
"L.R. Chisq6","race_discrimination","213","717","38","142","1.37452681488325","0.929592877764209","2.03242086942095","1.48476427574861","0.852408234283489","2.58623141573981","0.516861741771464","0.472183452354763"
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L.R. Chisq7","weight_discrimination_BMI_more30","1947","5192","178","199","1.12411005441022","0.929368365069034","1.3596583033384","1.40630143344535","1.10228221085265","1.79417185747802","0.0957380185162222","0.757005399015338"
"L.R. Chisq8","weight_discrimination_BMImore25_less29.9","2590","1841","17","14","0.986638950976212","0.844421164939835","1.1528091194313","1.54754413268399","1.00179545330958","2.39060063079022","0.000952187591985343","0.975383154318317"
"L.R. Chisq9","weight_discrimination_BMImore25","4537","7033","195","213","1.04537785841916","0.923251930837142","1.18365836059734","1.41367366474359","1.14091150560431","1.75164613606995","0.0292633592679152","0.864172368744581"
